Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Longitude,Latitude,Victim Age,Victim Gender,Weapon Used
1222,2020-12-08,2020-04-17,10:40,Koparkhairane,107,Homicide,72.980579,18.942531,78,Male,Blunt Object
1223,2024-05-14,2020-07-25,09:22,Turbhe,105,Fraud,72.983139,18.99585,21,Female,Knife
1224,2022-11-16,2021-09-30,23:55,Juhinagar,109,Cybercrime,72.929749,19.181933,13,Female,Explosives
1225,2021-04-12,2020-10-06,23:39,Vashi,106,Drug-related crime,73.007557,19.172389,43,Female,Gun
1226,2022-01-18,2021-04-17,20:05,Belapur,103,Assault,72.937684,19.131905,52,Other,None
1227,2020-05-21,2020-04-27,06:41,Sanpada,108,Vandalism,73.002905,19.10283,22,Other,None
1228,2022-10-19,2021-06-27,01:55,Kharghar,108,Vandalism,72.98129,19.020665,62,Male,Blunt Object
1229,2024-06-03,2020-06-27,08:36,Kharghar,106,Drug-related crime,72.974385,19.04597,72,Other,Explosives
1230,2022-11-07,2022-09-01,20:31,Koparkhairane,110,Kidnapping,73.077071,19.068825,51,Female,Blunt Object
1231,2021-01-26,2020-08-02,04:28,Belapur,108,Vandalism,73.081166,18.9816,15,Female,Gun
1232,2020-07-29,2020-05-17,19:54,Vashi,107,Homicide,72.972947,18.926498,65,Other,Knife
1233,2021-02-24,2020-02-02,19:59,Nerul,109,Cybercrime,72.928524,19.091876,60,Other,Poison
1234,2025-03-03,2022-09-06,18:02,Vashi,105,Fraud,72.926746,19.097764,37,Other,Gun
1235,2022-02-15,2022-02-04,02:57,Vashi,107,Homicide,73.082681,19.055115,24,Female,Poison
1236,2020-10-30,2020-04-20,17:48,Nerul,109,Cybercrime,72.963469,19.153524,16,Male,Fire
1237,2022-04-19,2021-05-13,15:25,Mansarovar,104,Burglary,72.900935,19.083921,61,Female,Explosives
1238,2024-03-10,2022-02-27,03:48,Kharghar,101,Theft,73.032438,19.020449,18,Male,Fire
1239,2022-07-06,2020-12-28,09:28,Sanpada,103,Assault,73.052798,18.906257,61,Female,Gun
1240,2023-02-20,2022-08-21,23:46,Seawoods,108,Vandalism,72.943773,19.192934,80,Other,Knife
1241,2023-02-04,2021-03-19,06:43,Seawoods,105,Fraud,72.941553,19.180762,55,Female,Knife
1242,2020-02-06,2020-02-06,07:25,Seawoods,110,Kidnapping,72.977112,19.020719,39,Male,Blunt Object
1243,2022-08-27,2021-02-06,15:07,Vashi,103,Assault,73.020181,19.141848,28,Female,Knife
1244,2022-08-21,2020-05-17,17:14,Koparkhairane,110,Kidnapping,73.098962,19.087575,62,Other,Knife
1245,2023-12-25,2023-11-11,00:27,Nerul,109,Cybercrime,72.976588,18.963005,66,Female,Knife
1246,2022-11-29,2021-12-29,11:19,Vashi,110,Kidnapping,73.004869,18.960301,52,Male,Explosives
1247,2021-03-14,2020-09-27,15:59,Vashi,105,Fraud,72.990093,18.97379,29,Other,Gun
1248,2022-11-08,2020-06-08,16:13,Turbhe,109,Cybercrime,73.055455,19.055819,46,Male,Poison
1249,2024-10-17,2022-02-25,04:08,Turbhe,110,Kidnapping,72.930639,18.953725,54,Other,Fire
1250,2023-11-24,2021-06-26,08:56,Kharghar,101,Theft,72.936333,18.922739,32,Male,Explosives
1251,2024-03-26,2022-01-06,08:38,Nerul,108,Vandalism,72.936152,19.13915,64,Female,Fire
1252,2022-04-13,2021-10-27,22:56,Vashi,108,Vandalism,73.036717,19.055519,50,Male,Poison
1253,2020-02-12,2020-02-10,15:54,Koparkhairane,110,Kidnapping,73.033296,19.122573,42,Female,Explosives
1254,2022-05-21,2020-05-31,05:15,Juhinagar,103,Assault,73.091726,18.949031,16,Female,None
1255,2021-07-31,2021-01-30,17:15,Kharghar,109,Cybercrime,72.961673,19.042795,76,Male,Fire
1256,2023-12-28,2021-09-11,12:50,Nerul,103,Assault,72.992275,19.194999,32,Female,Knife
1257,2022-03-15,2021-05-06,04:55,Juhinagar,105,Fraud,72.944906,18.982994,11,Male,Fire
1258,2022-07-25,2021-05-22,06:56,Nerul,107,Homicide,72.933998,18.933445,66,Male,Blunt Object
1259,2021-06-19,2020-11-06,00:01,Sanpada,109,Cybercrime,72.952778,19.1627,32,Male,Explosives
1260,2020-05-12,2020-01-03,14:49,Mansarovar,105,Fraud,73.082723,18.918251,20,Male,Gun
1261,2021-06-29,2021-03-18,13:14,Juhinagar,105,Fraud,73.094189,19.137819,57,Female,Gun
1262,2020-08-06,2020-04-10,05:28,Belapur,105,Fraud,72.945833,19.146211,27,Male,Other
1263,2021-04-07,2020-08-07,01:03,Seawoods,108,Vandalism,73.035729,18.942224,71,Other,Knife
1264,2021-01-23,2020-04-25,10:32,Juhinagar,101,Theft,72.924547,19.131001,54,Female,Fire
1265,2024-12-18,2020-05-25,18:04,Koparkhairane,105,Fraud,73.004873,19.105155,22,Male,Gun
1266,2023-06-27,2021-01-11,23:01,Vashi,102,Robbery,73.058801,18.942167,76,Male,Knife
1267,2023-09-16,2022-03-15,23:24,Seawoods,105,Fraud,73.028686,18.980138,36,Other,Explosives
1268,2021-10-13,2020-08-09,14:31,Koparkhairane,105,Fraud,73.075269,18.9735,28,Male,Knife
1269,2021-12-13,2020-07-11,14:19,Koparkhairane,103,Assault,72.926972,19.105708,32,Male,Knife
1270,2020-09-05,2020-04-15,23:56,Juhinagar,103,Assault,72.908096,18.977075,75,Female,Fire
1271,2024-08-02,2022-08-16,09:26,Mansarovar,103,Assault,72.930467,19.118799,22,Female,Fire
1272,2024-10-25,2020-04-29,07:00,Kharghar,103,Assault,72.936778,19.097753,61,Other,Other
1273,2022-10-09,2020-06-30,14:16,Vashi,105,Fraud,72.916632,19.132558,64,Male,Blunt Object
1274,2020-08-28,2020-06-21,09:54,Kharghar,106,Drug-related crime,72.977684,19.061881,19,Female,Explosives
1275,2023-09-19,2023-09-09,10:15,Seawoods,106,Drug-related crime,72.910471,18.988518,68,Male,Gun
1276,2020-02-08,2020-01-07,00:24,Koparkhairane,105,Fraud,73.095331,18.96454,32,Male,Other
1277,2024-01-03,2022-01-18,12:05,Seawoods,101,Theft,73.022035,19.184809,26,Other,Other
1278,2021-09-25,2020-03-07,17:21,Seawoods,109,Cybercrime,73.06629,19.060679,55,Female,Gun
1279,2020-01-05,2020-01-02,05:32,Seawoods,109,Cybercrime,72.90922,19.076885,45,Female,Fire
1280,2021-03-26,2021-01-27,21:32,Sanpada,108,Vandalism,72.905757,19.187505,56,Female,Knife
1281,2024-08-17,2023-12-24,08:43,Airoli,107,Homicide,72.976198,18.932022,51,Female,Poison
1282,2021-05-28,2020-04-29,02:39,Juhinagar,101,Theft,73.078531,19.138747,37,Male,Fire
1283,2023-11-27,2020-08-26,02:05,Sanpada,101,Theft,72.93365,19.020084,25,Male,Knife
1284,2021-03-21,2020-05-07,13:44,Sanpada,107,Homicide,72.945033,19.187762,50,Female,Other
1285,2020-11-26,2020-01-09,15:26,Koparkhairane,102,Robbery,73.06464,19.151789,33,Female,Knife
1286,2024-09-22,2020-07-28,17:21,Seawoods,107,Homicide,73.031458,19.131748,47,Male,Blunt Object
1287,2023-08-23,2020-12-16,02:55,Vashi,104,Burglary,72.922929,18.93806,66,Female,Blunt Object
1288,2023-02-09,2022-03-04,02:45,Seawoods,110,Kidnapping,72.966873,18.90554,24,Female,Explosives
1289,2024-07-02,2022-02-17,13:52,Mansarovar,108,Vandalism,73.076349,19.08946,45,Male,Fire
1290,2024-06-27,2024-06-06,06:46,Airoli,103,Assault,73.006902,19.135689,68,Other,None
1291,2024-04-08,2020-12-09,15:47,Turbhe,101,Theft,72.939471,19.099493,24,Female,Other
1292,2020-09-13,2020-03-02,11:04,Seawoods,101,Theft,72.982889,18.986304,21,Other,Gun
1293,2025-01-24,2022-05-13,11:38,Belapur,104,Burglary,72.902294,19.195256,76,Male,None
1294,2021-05-11,2020-11-27,22:29,Airoli,101,Theft,72.916037,19.113185,55,Male,None
1295,2025-01-19,2021-10-10,11:00,Seawoods,101,Theft,73.001104,18.951138,42,Other,Gun
1296,2022-09-08,2022-03-26,23:21,Turbhe,108,Vandalism,73.096006,19.027735,43,Female,None
1297,2025-01-29,2022-12-06,09:01,Sanpada,106,Drug-related crime,73.01096,18.923189,74,Other,Gun
1298,2024-11-08,2021-07-28,12:42,Juhinagar,110,Kidnapping,72.999873,18.925494,13,Female,Other
1299,2020-09-14,2020-07-23,09:41,Turbhe,104,Burglary,72.904173,19.145797,28,Other,Other
1300,2021-09-13,2021-08-22,00:07,Kharghar,101,Theft,72.978972,19.102453,55,Male,Knife
1301,2020-11-06,2020-05-21,11:45,Sanpada,105,Fraud,73.096085,19.087195,27,Other,None
1302,2023-06-25,2020-11-16,13:26,Vashi,101,Theft,72.959487,19.196948,17,Male,Gun
1303,2022-09-27,2020-09-29,10:18,Airoli,107,Homicide,73.059983,18.960204,42,Other,Knife
1304,2022-09-14,2022-08-03,11:25,Airoli,109,Cybercrime,73.081355,18.927594,71,Male,Poison
1305,2020-11-15,2020-07-27,01:36,Nerul,104,Burglary,73.060708,19.175863,43,Male,Gun
1306,2024-04-14,2020-07-07,19:04,Turbhe,109,Cybercrime,72.932992,18.986333,15,Female,Fire
1307,2022-07-24,2021-08-21,08:21,Belapur,109,Cybercrime,73.071257,19.067951,43,Female,Explosives
1308,2020-05-31,2020-01-09,04:51,Kharghar,110,Kidnapping,73.029256,19.160682,41,Other,Knife
1309,2024-08-30,2022-02-06,08:54,Kharghar,103,Assault,73.03538,19.08945,37,Male,Gun
1310,2024-07-03,2023-01-03,22:39,Turbhe,110,Kidnapping,72.956154,19.094349,34,Female,Blunt Object
1311,2021-03-10,2021-01-12,14:26,Sanpada,102,Robbery,72.904266,19.033245,70,Male,Fire
1312,2022-04-14,2020-02-14,11:42,Seawoods,106,Drug-related crime,72.932442,18.981775,41,Female,Other
1313,2023-01-26,2020-09-07,03:32,Turbhe,102,Robbery,73.035178,18.924482,10,Female,None
1314,2021-10-14,2020-08-12,20:36,Vashi,101,Theft,72.961478,19.087304,67,Male,Explosives
1315,2020-03-22,2020-02-13,06:56,Vashi,105,Fraud,72.992609,19.028927,36,Male,Gun
1316,2022-07-17,2020-03-28,20:17,Seawoods,105,Fraud,73.036266,18.932195,70,Male,Poison
1317,2020-04-30,2020-01-10,22:36,Kharghar,108,Vandalism,72.91882,18.988186,33,Female,Fire
1318,2022-01-06,2021-02-13,15:24,Kharghar,102,Robbery,73.082384,19.030219,22,Female,None
1319,2021-06-23,2021-03-01,11:13,Airoli,103,Assault,73.012131,18.975067,72,Male,Fire
1320,2023-02-06,2022-06-15,12:47,Airoli,105,Fraud,72.956918,18.957382,47,Male,Poison
1321,2023-06-10,2021-04-05,13:57,Vashi,103,Assault,72.925956,19.068812,52,Male,Poison
1322,2022-07-07,2022-04-13,04:27,Airoli,102,Robbery,72.950673,18.900475,40,Male,Gun
1323,2022-01-18,2021-07-10,23:24,Seawoods,101,Theft,72.929833,18.907007,79,Other,Other
1324,2023-12-03,2021-07-21,08:01,Nerul,105,Fraud,72.93728,18.944261,29,Other,Blunt Object
1325,2024-04-29,2021-12-02,23:22,Airoli,103,Assault,73.054095,19.057719,52,Male,Fire
1326,2024-10-03,2022-06-30,19:40,Mansarovar,106,Drug-related crime,72.952516,19.128728,45,Other,None
1327,2023-09-01,2020-03-05,12:08,Sanpada,103,Assault,73.072223,19.162753,45,Female,Gun
1328,2020-02-04,2020-01-29,05:33,Turbhe,105,Fraud,73.054389,19.082015,44,Female,Knife
1329,2024-08-04,2022-01-23,16:03,Nerul,103,Assault,73.058448,19.105385,64,Female,None
1330,2025-02-11,2023-07-16,04:13,Mansarovar,110,Kidnapping,73.053815,18.922415,78,Female,Gun
1331,2021-02-21,2020-07-27,17:31,Vashi,108,Vandalism,72.93446,19.145332,20,Female,Gun
1332,2021-06-16,2020-02-21,12:11,Koparkhairane,107,Homicide,72.986296,18.981397,62,Male,Knife
1333,2022-03-25,2022-01-16,05:56,Turbhe,102,Robbery,73.011613,19.139523,54,Male,Other
1334,2020-12-25,2020-06-08,10:10,Juhinagar,109,Cybercrime,72.912225,18.952996,36,Male,Blunt Object
1335,2022-08-21,2022-02-08,15:55,Belapur,109,Cybercrime,72.914858,19.109106,67,Other,None
1336,2022-01-19,2021-03-13,09:13,Sanpada,103,Assault,73.063116,19.029046,68,Female,Blunt Object
1337,2020-03-16,2020-02-10,09:01,Juhinagar,105,Fraud,73.046057,19.068564,39,Female,Knife
1338,2020-04-12,2020-04-04,08:22,Airoli,108,Vandalism,72.978911,19.09579,18,Male,Fire
1339,2024-08-28,2024-02-28,19:01,Vashi,103,Assault,72.951339,19.056641,12,Other,Fire
1340,2020-12-12,2020-10-08,13:36,Kharghar,102,Robbery,72.917532,18.995626,54,Female,Explosives
1341,2023-06-19,2022-07-26,13:46,Nerul,105,Fraud,73.08648,19.102612,10,Other,Gun
1342,2022-05-26,2020-10-10,15:19,Airoli,107,Homicide,72.995819,19.0194,55,Female,Explosives
1343,2020-03-25,2020-02-19,16:05,Seawoods,101,Theft,72.985885,18.94587,74,Female,Explosives
1344,2021-02-27,2020-10-19,01:56,Koparkhairane,109,Cybercrime,72.94402,19.083033,69,Other,Blunt Object
1345,2022-09-22,2020-03-31,22:58,Seawoods,101,Theft,72.978287,19.102865,80,Other,Poison
1346,2020-12-19,2020-08-27,08:43,Airoli,104,Burglary,73.054852,18.906622,65,Other,None
1347,2024-03-31,2022-04-23,02:29,Belapur,110,Kidnapping,72.971499,19.149069,56,Female,Poison
1348,2022-07-28,2021-04-01,18:57,Juhinagar,102,Robbery,72.908248,18.995836,48,Female,Blunt Object
1349,2024-11-14,2021-01-21,15:40,Belapur,105,Fraud,72.980265,19.027249,23,Female,None
1350,2022-08-01,2021-08-04,14:00,Mansarovar,107,Homicide,72.99709,19.042939,78,Other,Gun
1351,2020-05-22,2020-03-26,01:13,Mansarovar,109,Cybercrime,72.944383,18.97264,33,Other,None
1352,2021-11-04,2020-03-15,17:11,Nerul,107,Homicide,72.981868,18.905672,49,Male,Gun
1353,2024-09-23,2020-07-28,10:00,Airoli,109,Cybercrime,72.970797,19.122228,58,Female,Explosives
1354,2021-06-06,2020-08-11,08:02,Nerul,108,Vandalism,73.019454,19.066611,62,Male,Blunt Object
1355,2023-12-16,2020-10-10,10:38,Mansarovar,106,Drug-related crime,72.917018,19.083081,51,Male,Explosives
1356,2021-06-22,2020-07-19,03:02,Sanpada,106,Drug-related crime,73.014131,18.921145,80,Other,Explosives
1357,2024-05-29,2020-09-29,23:08,Juhinagar,110,Kidnapping,73.047885,19.01324,41,Female,None
1358,2021-11-17,2020-04-04,00:15,Kharghar,105,Fraud,73.007437,19.031376,79,Other,Fire
1359,2020-07-07,2020-06-11,23:04,Mansarovar,105,Fraud,72.99296,18.943157,31,Male,None
1360,2021-02-22,2020-06-28,17:33,Mansarovar,104,Burglary,72.97639,19.166936,11,Male,Blunt Object
1361,2024-07-26,2020-11-26,16:16,Mansarovar,106,Drug-related crime,72.985365,18.935995,69,Female,Gun
1362,2022-06-28,2020-08-22,09:23,Seawoods,110,Kidnapping,72.930875,19.127136,68,Female,Knife
1363,2021-05-17,2021-01-01,01:26,Koparkhairane,108,Vandalism,72.976802,19.007979,20,Other,None
1364,2020-10-01,2020-05-08,11:06,Koparkhairane,105,Fraud,73.022317,18.939637,52,Male,Knife
1365,2020-04-08,2020-03-08,17:07,Kharghar,102,Robbery,72.993632,18.917143,55,Other,Poison
1366,2021-02-23,2020-04-22,18:35,Airoli,104,Burglary,72.951153,19.04053,65,Other,Knife
1367,2022-04-21,2021-07-17,12:10,Juhinagar,108,Vandalism,73.040335,18.909434,53,Other,None
1368,2020-10-06,2020-05-05,08:53,Koparkhairane,105,Fraud,72.918351,19.071515,35,Other,Gun
1369,2021-07-09,2020-05-20,11:52,Nerul,102,Robbery,72.915545,18.918754,63,Female,Knife
1370,2022-05-21,2021-08-08,18:26,Vashi,104,Burglary,73.050958,19.005099,46,Male,Gun
1371,2021-11-24,2020-05-14,20:03,Seawoods,109,Cybercrime,72.9131,18.950822,71,Other,Blunt Object
1372,2024-09-19,2020-02-23,23:35,Mansarovar,101,Theft,72.980764,18.998424,40,Female,None
1373,2022-10-04,2021-07-13,23:35,Juhinagar,101,Theft,72.978361,19.040592,36,Female,Poison
1374,2024-02-04,2023-12-22,05:08,Koparkhairane,102,Robbery,73.079672,18.957019,68,Female,None
1375,2023-02-14,2020-10-25,09:29,Belapur,106,Drug-related crime,73.009328,19.018125,46,Other,Blunt Object
1376,2024-02-26,2020-03-13,11:30,Turbhe,108,Vandalism,72.937137,18.915044,75,Other,Knife
1377,2024-10-13,2023-04-12,18:18,Seawoods,102,Robbery,73.020468,19.156793,66,Female,Other
1378,2022-04-13,2020-08-08,18:32,Vashi,108,Vandalism,72.907249,19.130479,20,Other,Poison
1379,2024-12-17,2021-01-27,17:31,Nerul,104,Burglary,72.948134,19.034404,30,Other,Knife
1380,2025-01-02,2021-03-22,01:27,Mansarovar,102,Robbery,73.098908,18.980673,68,Male,Other
1381,2023-01-29,2022-11-08,04:23,Kharghar,106,Drug-related crime,72.934694,19.029984,66,Other,Poison
1382,2020-06-12,2020-02-15,04:04,Belapur,106,Drug-related crime,72.976874,19.177904,40,Female,Fire
1383,2021-06-15,2020-09-26,07:20,Nerul,105,Fraud,72.923469,18.922596,44,Female,Knife
1384,2021-12-12,2021-04-10,20:02,Koparkhairane,107,Homicide,72.903666,18.981807,80,Female,Poison
1385,2021-06-26,2021-03-08,18:08,Juhinagar,107,Homicide,73.019484,19.117199,26,Other,None
1386,2024-04-13,2022-09-21,23:25,Vashi,109,Cybercrime,72.966762,18.925082,11,Male,Explosives
1387,2021-02-28,2021-01-04,04:55,Mansarovar,103,Assault,73.083741,19.170763,11,Female,Explosives
1388,2025-01-30,2021-01-22,20:42,Vashi,106,Drug-related crime,73.09231,19.121399,13,Other,Blunt Object
1389,2021-11-25,2020-03-17,00:28,Sanpada,103,Assault,72.92913,19.029905,32,Other,Explosives
1390,2020-04-20,2020-02-01,22:48,Seawoods,103,Assault,73.034946,18.949401,64,Other,Poison
1391,2024-11-27,2024-02-14,09:33,Mansarovar,101,Theft,73.096104,19.156636,28,Other,Blunt Object
1392,2024-09-07,2024-06-03,12:33,Nerul,103,Assault,73.082606,18.904348,30,Male,Explosives
1393,2021-02-10,2020-05-08,20:14,Vashi,108,Vandalism,72.911888,19.147054,35,Female,Fire
1394,2024-09-29,2022-01-05,14:27,Koparkhairane,101,Theft,72.940331,18.959171,70,Female,Knife
1395,2023-06-28,2022-05-16,11:27,Nerul,108,Vandalism,72.938419,19.184229,53,Male,Gun
1396,2023-08-06,2020-10-02,16:34,Mansarovar,102,Robbery,72.950644,18.974562,68,Female,Poison
1397,2020-06-05,2020-04-11,00:38,Turbhe,108,Vandalism,73.097177,19.1571,67,Other,Other
1398,2023-12-01,2021-04-17,21:23,Turbhe,109,Cybercrime,72.907479,18.934577,13,Female,Poison
1399,2025-03-12,2022-04-17,08:31,Koparkhairane,103,Assault,72.943134,19.130648,31,Female,None
1400,2022-07-12,2022-04-14,14:44,Seawoods,109,Cybercrime,73.046568,18.996012,75,Male,Other
1401,2023-10-16,2023-08-25,18:31,Mansarovar,104,Burglary,73.023321,19.033504,18,Female,Poison
1402,2020-02-06,2020-01-11,02:28,Juhinagar,107,Homicide,72.981251,19.033031,14,Male,Other
1403,2020-06-12,2020-01-15,10:49,Kharghar,103,Assault,73.092807,18.916488,12,Other,Gun
1404,2024-12-14,2020-07-03,16:48,Kharghar,101,Theft,73.027585,19.064564,77,Female,Fire
1405,2020-01-26,2020-01-22,03:58,Vashi,105,Fraud,72.924237,18.920305,67,Other,Poison
1406,2021-02-13,2020-09-22,18:29,Kharghar,102,Robbery,72.938632,19.093869,75,Male,Other
1407,2022-01-22,2020-11-10,05:50,Juhinagar,110,Kidnapping,72.927921,19.071831,15,Female,Other
1408,2024-01-29,2023-09-28,23:02,Turbhe,107,Homicide,72.938908,19.169065,77,Female,Gun
1409,2023-02-04,2022-01-10,08:35,Koparkhairane,106,Drug-related crime,73.003875,19.058383,48,Male,Fire
1410,2023-07-17,2021-05-19,11:24,Nerul,101,Theft,72.974176,19.129433,31,Male,Other
1411,2024-04-24,2023-05-02,22:39,Seawoods,108,Vandalism,72.917194,19.123024,14,Male,Fire
1412,2023-07-06,2023-01-01,09:23,Vashi,105,Fraud,73.037137,19.022579,31,Other,None
1413,2020-02-19,2020-01-24,01:21,Mansarovar,107,Homicide,72.964632,19.100055,19,Other,Gun
1414,2021-10-31,2020-03-08,15:44,Juhinagar,108,Vandalism,73.017128,19.142637,75,Female,Other
1415,2021-12-20,2021-01-23,00:07,Sanpada,110,Kidnapping,72.949709,19.181767,10,Male,Blunt Object
1416,2020-09-25,2020-05-02,01:03,Kharghar,101,Theft,72.923953,18.946386,40,Female,Knife
1417,2024-12-25,2024-04-23,20:56,Airoli,110,Kidnapping,73.065301,19.166798,42,Other,Blunt Object
1418,2024-01-27,2020-04-26,13:08,Koparkhairane,101,Theft,73.05918,19.046895,48,Male,Blunt Object
1419,2022-02-27,2021-11-10,22:53,Airoli,102,Robbery,73.042676,18.968399,66,Female,Other
1420,2020-10-28,2020-01-29,23:50,Vashi,105,Fraud,72.989196,18.949574,67,Other,Other
1421,2020-02-23,2020-02-18,17:29,Juhinagar,106,Drug-related crime,72.946723,18.916121,63,Female,Explosives
1422,2022-02-28,2020-05-20,02:14,Belapur,106,Drug-related crime,73.052859,19.069222,62,Other,Poison
1423,2024-09-05,2023-04-06,23:57,Nerul,103,Assault,73.055954,19.040343,70,Male,Explosives
1424,2023-11-19,2023-07-27,00:26,Koparkhairane,102,Robbery,73.09025,19.106746,33,Female,Knife
1425,2023-07-06,2022-11-23,20:38,Mansarovar,107,Homicide,73.076671,19.167135,41,Other,Fire
1426,2021-08-28,2020-04-20,11:48,Sanpada,105,Fraud,73.040428,19.059241,61,Male,Other
1427,2020-07-07,2020-01-05,18:46,Airoli,104,Burglary,72.954001,19.0997,36,Other,Fire
1428,2022-01-01,2021-08-22,07:19,Juhinagar,108,Vandalism,73.000818,18.982913,52,Female,Knife
1429,2024-08-28,2023-11-02,17:48,Koparkhairane,106,Drug-related crime,72.902665,19.03431,18,Male,Blunt Object
1430,2021-04-28,2020-04-17,20:40,Airoli,110,Kidnapping,72.968388,18.923443,22,Female,Blunt Object
1431,2021-09-02,2021-03-24,13:29,Turbhe,101,Theft,72.978637,19.034502,42,Female,Knife
1432,2024-06-13,2020-03-22,17:01,Sanpada,101,Theft,72.941604,19.167747,11,Male,Blunt Object
1433,2021-01-23,2020-01-09,01:22,Mansarovar,103,Assault,72.964849,19.060342,60,Other,Gun
1434,2020-08-14,2020-03-30,22:35,Turbhe,104,Burglary,72.926138,19.198866,60,Female,None
1435,2021-03-11,2020-08-15,17:39,Turbhe,109,Cybercrime,73.038208,19.061648,20,Female,Blunt Object
1436,2020-04-01,2020-02-21,22:16,Mansarovar,110,Kidnapping,73.089537,19.131783,27,Male,Blunt Object
1437,2022-08-26,2021-03-28,21:24,Seawoods,110,Kidnapping,73.09618,19.132042,28,Female,Poison
1438,2020-09-28,2020-05-09,19:22,Juhinagar,108,Vandalism,73.069591,19.037462,20,Other,Knife
1439,2020-12-06,2020-07-18,23:34,Mansarovar,102,Robbery,72.978051,18.922427,13,Other,Blunt Object
1440,2022-03-03,2020-08-05,00:44,Belapur,102,Robbery,73.037791,19.110302,26,Other,None
1441,2022-03-06,2021-06-27,02:25,Seawoods,104,Burglary,73.069042,19.17662,11,Other,Fire
1442,2022-06-19,2020-01-26,03:39,Belapur,105,Fraud,72.906065,18.941192,27,Female,Explosives
1443,2020-10-12,2020-04-15,08:12,Airoli,104,Burglary,72.918523,19.05334,31,Female,Explosives
1444,2020-02-02,2020-01-27,17:37,Turbhe,104,Burglary,72.918888,19.136754,72,Male,Other
1445,2025-02-09,2021-02-26,03:25,Nerul,109,Cybercrime,72.960662,19.152412,15,Female,Fire
1446,2020-07-06,2020-06-03,22:54,Sanpada,102,Robbery,73.015978,19.170134,68,Male,Other
1447,2020-01-25,2020-01-20,19:07,Turbhe,109,Cybercrime,73.081702,19.120608,77,Male,None
1448,2022-07-02,2022-02-26,23:44,Koparkhairane,109,Cybercrime,73.037684,19.19784,23,Female,Blunt Object
1449,2024-04-28,2022-12-05,18:53,Vashi,110,Kidnapping,72.953396,19.139879,76,Other,Poison
1450,2024-08-04,2022-03-04,04:42,Airoli,103,Assault,72.926733,19.113069,75,Female,Blunt Object
1451,2022-04-11,2021-07-19,15:30,Belapur,107,Homicide,72.905177,19.172297,34,Other,Gun
1452,2022-07-03,2022-02-17,06:11,Nerul,108,Vandalism,72.997353,19.083385,61,Other,Poison
1453,2023-11-23,2023-03-31,02:48,Airoli,101,Theft,73.071263,19.198267,19,Other,Other
1454,2022-08-06,2021-10-06,09:38,Airoli,107,Homicide,73.093622,18.963144,69,Male,Gun
1455,2023-10-11,2021-09-30,10:59,Sanpada,106,Drug-related crime,73.04517,19.039997,12,Other,Poison
1456,2021-01-16,2020-03-09,20:30,Seawoods,108,Vandalism,72.941104,18.985794,46,Female,Gun
1457,2023-11-27,2020-06-06,03:37,Sanpada,110,Kidnapping,73.031657,19.052603,74,Female,Explosives
1458,2023-08-28,2022-11-23,17:15,Airoli,109,Cybercrime,72.919072,19.144979,76,Female,Blunt Object
1459,2020-09-26,2020-01-25,23:12,Mansarovar,105,Fraud,73.037639,19.084619,12,Female,Blunt Object
1460,2023-11-15,2023-01-20,10:58,Airoli,107,Homicide,73.097148,19.194315,71,Other,Blunt Object
1461,2020-06-05,2020-02-23,01:00,Kharghar,102,Robbery,72.969389,19.110917,40,Other,Other
1462,2020-02-27,2020-02-07,18:26,Nerul,110,Kidnapping,72.940352,19.128648,32,Female,Fire
1463,2022-10-16,2021-11-26,06:48,Belapur,104,Burglary,72.974725,19.078026,16,Female,Knife
1464,2024-01-17,2024-01-01,05:23,Nerul,109,Cybercrime,72.972014,19.092757,67,Other,None
1465,2023-04-10,2020-01-15,04:06,Vashi,110,Kidnapping,73.038834,18.928114,44,Other,None
1466,2024-05-13,2020-01-12,22:19,Turbhe,102,Robbery,73.039058,18.93836,35,Male,Blunt Object
1467,2024-08-21,2020-09-27,16:30,Mansarovar,102,Robbery,73.048141,19.037624,59,Other,Blunt Object
1468,2020-12-30,2020-12-07,13:53,Mansarovar,101,Theft,73.041797,19.045818,75,Female,Gun
1469,2024-08-25,2022-04-15,11:31,Airoli,105,Fraud,73.079689,19.086715,72,Female,None
1470,2021-02-06,2020-07-02,13:31,Kharghar,105,Fraud,73.014876,18.910395,41,Other,Other
1471,2022-08-02,2022-02-04,03:33,Kharghar,103,Assault,72.948094,18.987096,78,Other,Explosives
1472,2021-11-05,2020-11-18,06:26,Seawoods,103,Assault,73.038327,18.965485,21,Female,Fire
1473,2022-04-04,2020-08-03,03:19,Juhinagar,109,Cybercrime,73.012506,19.028995,25,Male,Explosives
1474,2024-11-20,2020-12-03,05:00,Kharghar,101,Theft,73.03572,18.962291,59,Other,Fire
1475,2023-09-07,2023-04-17,02:50,Seawoods,110,Kidnapping,73.093415,19.181072,39,Female,Poison
1476,2021-03-31,2020-06-30,00:05,Airoli,101,Theft,72.966212,18.948229,63,Male,Fire
1477,2022-09-28,2021-08-15,09:32,Mansarovar,110,Kidnapping,73.070222,19.074518,15,Other,Gun
1478,2020-10-07,2020-03-19,21:17,Turbhe,109,Cybercrime,73.081276,18.993928,59,Male,Gun
1479,2022-05-19,2020-07-28,06:42,Koparkhairane,105,Fraud,73.094723,19.036694,31,Female,Blunt Object
1480,2022-02-11,2020-10-25,02:10,Turbhe,109,Cybercrime,73.048124,18.957256,64,Male,None
